"Number","Group","ExpectedIntent","Question","Top1Score","CurrentDecision","Top1KnowledgeItemId","Top1MatchedText","Top2Score","Top2MatchedText","Top3Score","Top3MatchedText"
"1","Clear","ChangePassword","رمز فعلی حسابم را می‌خواهم عوض کنم؛ از کدام بخش باید بروم؟","0.934356","InDomain","750cffa0-e281-41b5-b639-9b4ad041562c","رمز حسابمو از کجا عوض کنم؟","0.91725194","چطور شماره موبایل حسابم را تغییر بدهم؟","0.9148543","میخوام یکی از اطلاعات حسابم رو عوض کنم"
"2","Clear","ChangePassword","میشه برای اکانتم یک پسورد جدید تعیین کنم؟","0.9121347","InDomain","b4685f56-deaa-43c6-ae59-235bbf3a0118","یه مورد مربوط به اکانتم رو میخوام اصلاح کنم","0.9044095","برای اکانتم کمک میخوام","0.88894063","میخوام اطلاعات تماس حسابم رو تغییر بدم"
"3","Clear","ChangePassword","برای تغییر دادن گذرواژه حساب چه مراحلی باید انجام بدم؟","0.889654","InDomain","b4685f56-deaa-43c6-ae59-235bbf3a0118","میخوام یکی از اطلاعات حسابم رو عوض کنم","0.8835424","رمز حسابمو از کجا عوض کنم؟","0.8769729","ساخت حساب جدید چطور انجام می‌شود؟"
"4","Clear","Support","اگر برای حسابم مشکلی داشتم از چه راهی می‌تونم با تیم پشتیبانی در ارتباط باشم؟","0.9445914","InDomain","5eeaa1f0-f478-4524-9626-06ca996af901","چطور با پشتیبانی ارتباط بگیرم؟","0.8781038","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم","0.8684645","میخوام اطلاعات تماس حسابم رو تغییر بدم"
"5","Clear","Support","راهی برای ارتباط مستقیم با پشتیبانی سایت هست؟","0.93357044","InDomain","5eeaa1f0-f478-4524-9626-06ca996af901","راه ارتباط با پشتیبانی چیست؟","0.84337866","چطور ثبت نام کنم؟","0.83371496","چرا نمی‌توانم وارد حساب کاربری شوم؟"
"6","Clear","Support","برای گرفتن کمک از پشتیبانی باید از کجا اقدام کنم؟","0.93675685","InDomain","5eeaa1f0-f478-4524-9626-06ca996af901","چطور با پشتیبانی تماس بگیرم؟","0.86476904","برای اکانتم کمک میخوام","0.84697133","چطور ثبت نام کنم؟"
"7","Clear","ForgotPassword","پسوردم یادم نیست؛ چطور دوباره به حسابم دسترسی پیدا کنم؟","0.8994479","InDomain","45d1ec4a-7ae1-407c-9237-f0bf5985417f","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم","0.89846516","رمز عبورم را فراموش کرده‌ام، چه کار کنم؟","0.89269805","چطور شماره موبایل حسابم را تغییر بدهم؟"
"8","Clear","ForgotPassword","رمز ورودم رو فراموش کردم و نمی‌تونم وارد بشم، باید چی کار کنم؟","0.94376093","InDomain","528778ab-e075-4ee0-bf31-fc9bc5326c7a","رمز عبورم را فراموش کرده‌ام، چه کار کنم؟","0.9053408","چطور رمز عبورم را تغییر بدهم؟","0.8958836","چرا نمی‌توانم وارد حساب کاربری شوم؟"
"9","Clear","ForgotPassword","برای بازیابی گذرواژه‌ای که یادم رفته از کجا شروع کنم؟","0.8858744","InDomain","528778ab-e075-4ee0-bf31-fc9bc5326c7a","پسوردم یادم رفته","0.8614022","میخوام یکی از اطلاعات حسابم رو عوض کنم","0.8561376","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم"
"10","Clear","LoginProblem","نام کاربری و رمز رو وارد می‌کنم اما وارد پنل نمی‌شم؛ مشکل از کجاست؟","0.9074046","InDomain","8551757a-28e8-4bf2-bf9b-f3aa473540c4","چرا نمی‌توانم وارد حساب کاربری شوم؟","0.9018368","برای حساب کاربری‌ام مشکلی پیش آمده، اما نوع مشکل مشخص نیست","0.8902052","می‌خواهم یکی از اطلاعات حساب کاربری را تغییر بدهم، اما مشخص نیست کدام مورد"
"11","Clear","LoginProblem","صفحه ورود اجازه ورود به حسابم رو نمی‌ده، چه کاری انجام بدم؟","0.91702545","InDomain","8551757a-28e8-4bf2-bf9b-f3aa473540c4","ورود به حسابم انجام نمی‌شود","0.90473616","حساب کاربری من قفل شده است، چه کار کنم؟","0.90081966","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم"
"12","Clear","LoginProblem","اطلاعات ورودم رو دارم ولی سیستم وارد حسابم نمی‌کنه.","0.93973523","InDomain","8551757a-28e8-4bf2-bf9b-f3aa473540c4","ورود به حسابم انجام نمی‌شود","0.9233986","می‌خواهم یکی از اطلاعات حساب کاربری را تغییر بدهم، اما مشخص نیست کدام مورد","0.92287815","میخوام اطلاعات تماس حسابم رو تغییر بدم"
"13","Clear","LockedAccount","پیام می‌ده حسابم قفل شده؛ چطور دوباره فعالش کنم؟","0.91279435","InDomain","2361d83f-7c37-43fc-af41-7b0bb893db47","چطور شماره موبایل حسابم را تغییر بدهم؟","0.9122167","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم","0.9104231","میخوام اطلاعات تماس حسابم رو تغییر بدم"
"14","Clear","LockedAccount","به خاطر چند بار ورود ناموفق اکانتم بسته شده، باید چه کار کنم؟","0.89133203","InDomain","45d1ec4a-7ae1-407c-9237-f0bf5985417f","با اکانتم به مشکل خوردم و نمیدونم باید چه کاری انجام بدم","0.8766631","اکانتم قفل شده","0.8737845","یه مورد مربوط به اکانتم رو میخوام اصلاح کنم"
"15","Clear","LockedAccount","سیستم می‌گه دسترسی حسابم مسدود شده؛ راه باز کردنش چیه؟","0.9063472","InDomain","45d1ec4a-7ae1-407c-9237-f0bf5985417f","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم","0.90566325","چطور شماره موبایل حسابم را تغییر بدهم؟","0.90445536","حسابم مسدود شده است"
"16","Clear","ChangeEmail","ایمیلی که روی حسابم ثبت شده قدیمیه؛ چطور ایمیل جدید ثبت کنم؟","0.9046746","InDomain","aaba78db-3981-400c-8e97-12bcf9ed7a8a","چطور ایمیل حساب کاربری را تغییر بدهم؟","0.9011288","چطور شماره موبایل حسابم را تغییر بدهم؟","0.8941595","چطور ثبت نام کنم؟"
"17","Clear","ChangeEmail","می‌خوام آدرس ایمیل اکانتم رو با یک ایمیل دیگه جایگزین کنم.","0.9217905","InDomain","aaba78db-3981-400c-8e97-12bcf9ed7a8a","می‌خواهم ایمیلم را عوض کنم","0.90665174","یکی از راه‌های ارتباطی حسابم رو میخوام عوض کنم","0.9049474","می‌خواهم رمز حسابم را تغییر بدهم"
"18","Clear","ChangeEmail","از کجا می‌تونم ایمیل متصل به پروفایلم رو عوض کنم؟","0.92589575","InDomain","aaba78db-3981-400c-8e97-12bcf9ed7a8a","تغییر ایمیل از کجاست؟","0.90215474","چطور اطلاعات پروفایلم را ویرایش کنم؟","0.87997663","چطور شماره موبایل حسابم را تغییر بدهم؟"
"19","Clear","ChangeMobile","سیم‌کارتم عوض شده و می‌خوام شماره جدیدم رو روی حساب ثبت کنم.","0.93756413","InDomain","6dbf40c0-6f03-46e4-b737-594906b31862","اطلاعات تماس ثبت شده برای حسابم باید تغییر کنه","0.9321188","اطلاعاتی که برای حسابم ثبت شده نیاز به تغییر داره","0.9248137","می‌خواهم رمز حسابم را تغییر بدهم"
"20","Clear","ChangeMobile","شماره‌ای که در اکانتم ذخیره شده اشتباهه؛ چطور اصلاحش کنم؟","0.924652","InDomain","2361d83f-7c37-43fc-af41-7b0bb893db47","چطور شماره موبایل حسابم را تغییر بدهم؟","0.9220222","یه مورد مربوط به اکانتم رو میخوام اصلاح کنم","0.8995704","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم"
"21","Clear","ChangeMobile","می‌خوام شماره تماس حسابم رو با شماره تازه جایگزین کنم.","0.9362491","InDomain","750cffa0-e281-41b5-b639-9b4ad041562c","می‌خواهم رمز حسابم را تغییر بدهم","0.93413204","میخوام اطلاعات تماس حسابم رو تغییر بدم","0.93155885","می‌خواهم مشخصات حسابم را تغییر بدهم"
"22","Clear","EditProfile","نام و مشخصات پروفایلم رو از چه بخشی می‌تونم ویرایش کنم؟","0.9702381","InDomain","fb4c8c44-faf5-4b67-a5c6-0d1cacb4c531","چطور اطلاعات پروفایلم را ویرایش کنم؟","0.8701134","میخوام یکی از اطلاعات حسابم رو عوض کنم","0.86355364","میخوام اطلاعات تماس حسابم رو تغییر بدم"
"23","Clear","EditProfile","چند تا از اطلاعات شخصی داخل پروفایلم اشتباهه؛ چطور اصلاحشون کنم؟","0.92166865","InDomain","fb4c8c44-faf5-4b67-a5c6-0d1cacb4c531","چطور اطلاعات پروفایلم را ویرایش کنم؟","0.9020681","میخوام اطلاعات تماس حسابم رو تغییر بدم","0.9008933","میخوام یکی از اطلاعات حسابم رو عوض کنم"
"24","Clear","EditProfile","برای به‌روزرسانی مشخصات حساب کاربری باید کجا برم؟","0.8882141","InDomain","244bd9a6-601d-41a4-98d3-276c2ea37f65","چطور یک حساب کاربری ایجاد کنم؟","0.8869951","یه مسئله‌ای درباره حساب کاربری دارم","0.8821449","حساب کاربری من قفل شده است، چه کار کنم؟"
"25","Clear","CreateAccount","هنوز حساب ندارم؛ از کجا باید ثبت‌نام کنم؟","0.9234566","InDomain","244bd9a6-601d-41a4-98d3-276c2ea37f65","چطور ثبت نام کنم؟","0.8891599","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم","0.88861257","ورود به حسابم انجام نمی‌شود"
"26","Clear","CreateAccount","برای اولین بار می‌خوام عضو سایت بشم، مراحل ساخت اکانت چیه؟","0.90546787","InDomain","244bd9a6-601d-41a4-98d3-276c2ea37f65","چطور یک حساب کاربری ایجاد کنم؟","0.8706171","برای اکانتم کمک میخوام","0.8559064","یه مورد مربوط به اکانتم رو میخوام اصلاح کنم"
"27","Clear","CreateAccount","چطور می‌تونم برای خودم یک پروفایل کاربری جدید بسازم؟","0.918544","InDomain","fb4c8c44-faf5-4b67-a5c6-0d1cacb4c531","چطور اطلاعات پروفایلم را ویرایش کنم؟","0.912782","چطور یک حساب کاربری ایجاد کنم؟","0.8677985","چرا نمی‌توانم وارد حساب کاربری شوم؟"
"28","Clear","DeleteAccount","دیگه نمی‌خوام حسابم فعال باشه؛ چطور برای همیشه حذفش کنم؟","0.9121332","InDomain","45d1ec4a-7ae1-407c-9237-f0bf5985417f","نمیدونم برای مشکل حسابم باید چیکار کنم","0.90871924","می‌خواهم رمز حسابم را تغییر بدهم","0.90544516","می‌خواهم یکی از اطلاعات حساب کاربری را تغییر بدهم، اما مشخص نیست کدام مورد"
