Id,Label,UserQuestion,CandidateFaq,CandidateIntent,Difficulty,Reason
P01,Positive,می‌خوام پسورد حسابم رو عوض کنم.,چطور رمز عبورم را تغییر بدهم؟,ChangePassword,Easy,همان intent با واژه‌ی پسورد/رمز
P02,Positive,برای اکانتم یک گذرواژه تازه می‌خوام.,چطور رمز عبورم را تغییر بدهم؟,ChangePassword,Medium,گذرواژه مترادف رمز عبور است
P03,Positive,رمزم یادم نیست و نمی‌تونم وارد حساب بشم.,رمز عبورم را فراموش کرده‌ام، چه کار کنم؟,ForgotPassword,Medium,فراموشی رمز
P04,Positive,چطور از تیم پشتیبانی کمک بگیرم؟,چطور با پشتیبانی تماس بگیرم؟,Support,Easy,درخواست کمک از پشتیبانی
P05,Positive,اطلاعات ورود رو می‌زنم ولی حساب باز نمی‌شه.,چرا نمی‌توانم وارد حساب کاربری شوم؟,LoginProblem,Medium,مشکل ورود
P06,Positive,بعد از چند بار تلاش اکانتم قفل شده.,حساب کاربری من قفل شده است، چه کار کنم؟,LockedAccount,Easy,قفل شدن حساب
P07,Positive,می‌خوام ایمیل متصل به اکانتم رو عوض کنم.,چطور ایمیل حساب کاربری را تغییر بدهم؟,ChangeEmail,Easy,تغییر ایمیل حساب
P08,Positive,شماره تلفن جدیدم رو می‌خوام روی حساب ثبت کنم.,چطور شماره موبایل حسابم را تغییر بدهم؟,ChangeMobile,Medium,تلفن/موبایل
P09,Positive,می‌خوام مشخصات پروفایلم رو اصلاح کنم.,چطور اطلاعات پروفایلم را ویرایش کنم؟,EditProfile,Easy,ویرایش اطلاعات پروفایل
P10,Positive,هنوز عضو سایت نیستم و می‌خوام اکانت بسازم.,چطور یک حساب کاربری ایجاد کنم؟,CreateAccount,Medium,عضویت/ساخت اکانت
P11,Positive,می‌خوام حسابم برای همیشه بسته بشه.,چطور حساب کاربری‌ام را حذف کنم؟,DeleteAccount,Medium,بستن دائمی حساب
P12,Positive,چطور اکانتم رو کامل پاک کنم؟,چطور حساب کاربری‌ام را حذف کنم؟,DeleteAccount,Easy,پاک کردن کامل حساب
P13,Positive,از کجا می‌تونم یک رمز جدید برای ورود تعیین کنم؟,چطور رمز عبورم را تغییر بدهم؟,ChangePassword,Medium,تعیین رمز جدید
P14,Positive,ایمیلی که روی حسابه دیگه در دسترسم نیست؛ می‌خوام عوضش کنم.,چطور ایمیل حساب کاربری را تغییر بدهم؟,ChangeEmail,Medium,تغییر ایمیل با زمینه اضافی
P15,Positive,برای استفاده از سایت باید ثبت‌نام کنم؛ از کجا؟,چطور یک حساب کاربری ایجاد کنم؟,CreateAccount,Medium,ثبت‌نام و ایجاد حساب
N01,Negative,چه مرورگرهایی برای سایت پشتیبانی می‌شوند؟,چطور با پشتیبانی تماس بگیرم؟,Support,Hard,اشتراک واژه پشتیبانی، معنی متفاوت
N02,Negative,چطور اعلان‌های ایمیلی رو خاموش کنم؟,چطور ایمیل حساب کاربری را تغییر بدهم؟,ChangeEmail,Hard,اعلان ایمیلی با آدرس ایمیل فرق دارد
N03,Negative,چطور ورود دو مرحله‌ای رو فعال کنم؟,چطور رمز عبورم را تغییر بدهم؟,ChangePassword,Hard,امنیت حساب ولی تغییر رمز نیست
N04,Negative,گزارش فعالیت‌های اخیر حسابم رو از کجا ببینم؟,حساب کاربری من قفل شده است، چه کار کنم؟,LockedAccount,Hard,هر دو درباره حساب‌اند ولی intent متفاوت
N05,Negative,می‌خوام اعلان پیامکی سایت رو قطع کنم.,چطور شماره موبایل حسابم را تغییر بدهم؟,ChangeMobile,Hard,پیامک با تغییر شماره فرق دارد
N06,Negative,چطور از اطلاعات حسابم فایل خروجی بگیرم؟,چطور اطلاعات پروفایلم را ویرایش کنم؟,EditProfile,Hard,export با edit فرق دارد
N07,Negative,می‌خوام از حساب فعلی خارج بشم.,چطور حساب کاربری‌ام را حذف کنم؟,DeleteAccount,Hard,logout با حذف حساب متفاوت است
N08,Negative,چطور حسابم رو موقتاً غیرفعال کنم؟,چطور حساب کاربری‌ام را حذف کنم؟,DeleteAccount,Hard,غیرفعال‌سازی موقت با حذف دائمی فرق دارد
N09,Negative,می‌خوام وضعیت سفارش‌هام رو ببینم.,چرا نمی‌توانم وارد حساب کاربری شوم؟,LoginProblem,Medium,موضوع متفاوت
N10,Negative,آیا می‌شه با شماره موبایل وارد سایت شد؟,چطور شماره موبایل حسابم را تغییر بدهم؟,ChangeMobile,Hard,نوع ورود با تغییر شماره فرق دارد
N11,Negative,چطور نام کاربری‌ام را پیدا کنم؟,رمز عبورم را فراموش کرده‌ام، چه کار کنم؟,ForgotPassword,Hard,credential-related ولی متفاوت
N12,Negative,چطور حساب فرزندم رو مدیریت کنم؟,چطور یک حساب کاربری ایجاد کنم؟,CreateAccount,Medium,مدیریت حساب با ساخت حساب فرق دارد
N13,Negative,چطور عضویت خبرنامه رو لغو کنم؟,چطور حساب کاربری‌ام را حذف کنم؟,DeleteAccount,Hard,لغو خبرنامه با حذف حساب فرق دارد
N14,Negative,چطور زبان سایت رو تغییر بدم؟,چطور اطلاعات پروفایلم را ویرایش کنم؟,EditProfile,Medium,تنظیم زبان با ویرایش پروفایل فرق دارد
N15,Negative,چطور تاریخچه تراکنش‌ها رو ببینم؟,چطور با پشتیبانی تماس بگیرم؟,Support,Medium,موضوع خارج از KB
