"Number","Group","Question","SemanticTopScore","CurrentDecision","Top1MatchedText"
"1","Clear","رمز فعلی حسابم را می‌خواهم عوض کنم؛ از کدام بخش باید بروم؟","0.934356","InDomain","رمز حسابمو از کجا عوض کنم؟"
"2","Clear","میشه برای اکانتم یک پسورد جدید تعیین کنم؟","0.8709309","InDomain","پسوردم یادم رفته"
"3","Clear","برای تغییر دادن گذرواژه حساب چه مراحلی باید انجام بدم؟","0.8835424","InDomain","رمز حسابمو از کجا عوض کنم؟"
"4","Clear","اگر برای حسابم مشکلی داشتم از چه راهی می‌تونم با تیم پشتیبانی در ارتباط باشم؟","0.9445914","InDomain","چطور با پشتیبانی ارتباط بگیرم؟"
"5","Clear","راهی برای ارتباط مستقیم با پشتیبانی سایت هست؟","0.93357044","InDomain","راه ارتباط با پشتیبانی چیست؟"
"6","Clear","برای گرفتن کمک از پشتیبانی باید از کجا اقدام کنم؟","0.93675685","InDomain","چطور با پشتیبانی تماس بگیرم؟"
"7","Clear","پسوردم یادم نیست؛ چطور دوباره به حسابم دسترسی پیدا کنم؟","0.89846516","InDomain","رمز عبورم را فراموش کرده‌ام، چه کار کنم؟"
"8","Clear","رمز ورودم رو فراموش کردم و نمی‌تونم وارد بشم، باید چی کار کنم؟","0.94376093","InDomain","رمز عبورم را فراموش کرده‌ام، چه کار کنم؟"
"9","Clear","برای بازیابی گذرواژه‌ای که یادم رفته از کجا شروع کنم؟","0.8858744","InDomain","پسوردم یادم رفته"
"10","Clear","نام کاربری و رمز رو وارد می‌کنم اما وارد پنل نمی‌شم؛ مشکل از کجاست؟","0.9074046","InDomain","چرا نمی‌توانم وارد حساب کاربری شوم؟"
"11","Clear","صفحه ورود اجازه ورود به حسابم رو نمی‌ده، چه کاری انجام بدم؟","0.91702545","InDomain","ورود به حسابم انجام نمی‌شود"
"12","Clear","اطلاعات ورودم رو دارم ولی سیستم وارد حسابم نمی‌کنه.","0.93973523","InDomain","ورود به حسابم انجام نمی‌شود"
"13","Clear","پیام می‌ده حسابم قفل شده؛ چطور دوباره فعالش کنم؟","0.91279435","InDomain","چطور شماره موبایل حسابم را تغییر بدهم؟"
"14","Clear","به خاطر چند بار ورود ناموفق اکانتم بسته شده، باید چه کار کنم؟","0.8766631","InDomain","اکانتم قفل شده"
"15","Clear","سیستم می‌گه دسترسی حسابم مسدود شده؛ راه باز کردنش چیه؟","0.90566325","InDomain","چطور شماره موبایل حسابم را تغییر بدهم؟"
"16","Clear","ایمیلی که روی حسابم ثبت شده قدیمیه؛ چطور ایمیل جدید ثبت کنم؟","0.9046746","InDomain","چطور ایمیل حساب کاربری را تغییر بدهم؟"
"17","Clear","می‌خوام آدرس ایمیل اکانتم رو با یک ایمیل دیگه جایگزین کنم.","0.9217905","InDomain","می‌خواهم ایمیلم را عوض کنم"
"18","Clear","از کجا می‌تونم ایمیل متصل به پروفایلم رو عوض کنم؟","0.92589575","InDomain","تغییر ایمیل از کجاست؟"
"19","Clear","سیم‌کارتم عوض شده و می‌خوام شماره جدیدم رو روی حساب ثبت کنم.","0.9248137","InDomain","می‌خواهم رمز حسابم را تغییر بدهم"
"20","Clear","شماره‌ای که در اکانتم ذخیره شده اشتباهه؛ چطور اصلاحش کنم؟","0.924652","InDomain","چطور شماره موبایل حسابم را تغییر بدهم؟"
"21","Clear","می‌خوام شماره تماس حسابم رو با شماره تازه جایگزین کنم.","0.9362491","InDomain","می‌خواهم رمز حسابم را تغییر بدهم"
"22","Clear","نام و مشخصات پروفایلم رو از چه بخشی می‌تونم ویرایش کنم؟","0.9702381","InDomain","چطور اطلاعات پروفایلم را ویرایش کنم؟"
"23","Clear","چند تا از اطلاعات شخصی داخل پروفایلم اشتباهه؛ چطور اصلاحشون کنم؟","0.92166865","InDomain","چطور اطلاعات پروفایلم را ویرایش کنم؟"
"24","Clear","برای به‌روزرسانی مشخصات حساب کاربری باید کجا برم؟","0.8882141","InDomain","چطور یک حساب کاربری ایجاد کنم؟"
"25","Clear","هنوز حساب ندارم؛ از کجا باید ثبت‌نام کنم؟","0.9234566","InDomain","چطور ثبت نام کنم؟"
"26","Clear","برای اولین بار می‌خوام عضو سایت بشم، مراحل ساخت اکانت چیه؟","0.90546787","InDomain","چطور یک حساب کاربری ایجاد کنم؟"
"27","Clear","چطور می‌تونم برای خودم یک پروفایل کاربری جدید بسازم؟","0.918544","InDomain","چطور اطلاعات پروفایلم را ویرایش کنم؟"
"28","Clear","دیگه نمی‌خوام حسابم فعال باشه؛ چطور برای همیشه حذفش کنم؟","0.90871924","InDomain","می‌خواهم رمز حسابم را تغییر بدهم"
"29","Clear","می‌خوام اکانتم رو به‌طور کامل پاک کنم، از کجا باید اقدام کنم؟","0.90554875","InDomain","می‌خواهم اکانتم را حذف کنم"
"30","Clear","راه بستن و حذف دائمی حساب کاربری چیه؟","0.9030033","InDomain","چطور حساب کاربری‌ام را حذف کنم؟"
"41","NoMatch","امروز هوا چطوره؟","0.8162925","NoMatch","چطور ثبت نام کنم؟"
"42","NoMatch","سفارشم چه زمانی ارسال می‌شود؟","0.83543164","NoMatch","چطور ثبت نام کنم؟"
"43","NoMatch","چطور فاکتور خریدم را دانلود کنم؟","0.87407696","InDomain","چطور با پشتیبانی تماس بگیرم؟"
"44","NoMatch","قیمت اشتراک سایت چقدره؟","0.83371466","NoMatch","چطور ثبت نام کنم؟"
"45","NoMatch","چطور زبان سایت رو تغییر بدم؟","0.87584996","InDomain","چطور ایمیل حساب کاربری را تغییر بدهم؟"
"46","NoMatch","آدرس شعبه حضوری شما کجاست؟","0.85941494","InDomain","پسوردم یادم رفته"
"47","NoMatch","ساعت کاری مجموعه چه زمانی است؟","0.77649426","NoMatch","اکانتم قفل شده"
"48","NoMatch","چطور محصولی که خریدم رو مرجوع کنم؟","0.84783924","NoMatch","پسوردم یادم رفته"
"49","NoMatch","کد تخفیف از کجا می‌تونم بگیرم؟","0.85677713","InDomain","چطور با پشتیبانی تماس بگیرم؟"
"50","NoMatch","برای استخدام در مجموعه باید از کجا اقدام کنم؟","0.85294324","InDomain","چطور ثبت نام کنم؟"
